Size of Matrix (n), 10-precision-seconds, 20-precision-seconds, 30-precision-seconds
196, 1.7798e-04, 5.3744e-04, 1.0711e-03
215, 1.7472e-04, 5.4380e-04, 1.0512e-03
236, 1.9560e-04, 5.5818e-04, 1.1079e-03
259, 3.4759e-04, 1.0954e-03, 2.1175e-03
284, 3.5183e-04, 1.0780e-03, 2.0892e-03
312, 3.4527e-04, 1.0762e-03, 2.1229e-03
343, 3.4759e-04, 1.0994e-03, 2.0971e-03
377, 3.6002e-04, 1.0678e-03, 2.1149e-03
414, 3.8618e-04, 1.0849e-03, 2.1979e-03
455, 3.7705e-04, 1.1089e-03, 2.1908e-03
500, 3.8894e-04, 1.0933e-03, 2.1713e-03
550, 7.0868e-04, 2.1821e-03, 4.2607e-03
605, 7.3302e-04, 2.1994e-03, 4.3738e-03
665, 7.4014e-04, 2.2163e-03, 4.2757e-03
731, 7.7051e-04, 2.1596e-03, 4.3617e-03
804, 7.9522e-04, 2.1851e-03, 4.4328e-03
884, 8.2350e-04, 2.2406e-03, 4.4739e-03
972, 7.9866e-04, 2.2738e-03, 4.5097e-03
1069, 1.5669e-03, 4.3477e-03, 8.7897e-03
1175, 1.5288e-03, 4.3597e-03, 8.8605e-03
1292, 1.6052e-03, 4.3372e-03, 8.9251e-03
1421, 1.6327e-03, 4.4525e-03, 9.0146e-03
1563, 1.6929e-03, 4.4479e-03, 8.9549e-03
1719, 1.7163e-03, 4.4870e-03, 9.1102e-03
1890, 1.6937e-03, 4.4658e-03, 9.1765e-03
2079, 3.0794e-03, 8.7962e-03, 1.7534e-02
2286, 3.0774e-03, 8.6045e-03, 1.7596e-02
2514, 3.1790e-03, 8.6994e-03, 1.7808e-02
2765, 3.2419e-03, 8.7411e-03, 1.7959e-02
3041, 3.3593e-03, 8.8454e-03, 1.8040e-02
3345, 3.3423e-03, 8.9480e-03, 1.8114e-02
3679, 3.4602e-03, 9.0938e-03, 1.8207e-02
4046, 3.6660e-03, 9.6529e-03, 1.9243e-02
4450, 6.9577e-03, 1.9363e-02, 3.8711e-02
4895, 7.3091e-03, 1.9485e-02, 3.9315e-02
5384, 6.9956e-03, 1.9014e-02, 3.8178e-02
5922, 7.0448e-03, 1.8996e-02, 3.7765e-02
6514, 7.2518e-03, 1.9146e-02, 3.8124e-02
7165, 7.2963e-03, 1.9211e-02, 3.8182e-02
7881, 7.6479e-03, 2.0360e-02, 3.9795e-02
8669, 1.3820e-02, 3.7387e-02, 7.5212e-02
9535, 1.3967e-02, 3.8107e-02, 7.7315e-02
10488, 1.4420e-02, 3.9576e-02, 7.7515e-02
11536, 1.4858e-02, 3.9906e-02, 7.8258e-02
12689, 1.5426e-02, 4.0446e-02, 7.9973e-02
13957, 1.5934e-02, 4.1736e-02, 8.0895e-02
15352, 1.6309e-02, 4.1667e-02, 8.1728e-02
16887, 2.8204e-02, 7.6534e-02, 1.5327e-01
18575, 2.9023e-02, 7.8396e-02, 1.5532e-01
20432, 2.9626e-02, 7.8862e-02, 1.5541e-01
22475, 3.0288e-02, 7.9507e-02, 1.5642e-01
24722, 3.0272e-02, 7.9193e-02, 1.5487e-01
27194, 3.1358e-02, 8.0750e-02, 1.5955e-01
29913, 3.2483e-02, 8.2260e-02, 1.6103e-01
32904, 5.8025e-02, 1.5627e-01, 3.0703e-01
36194, 5.7813e-02, 1.5452e-01, 3.0356e-01
39813, 6.3214e-02, 1.6559e-01, 3.2086e-01
43794, 6.1579e-02, 1.5987e-01, 3.1163e-01
48173, 6.2815e-02, 1.6177e-01, 3.1400e-01
52990, 6.4437e-02, 1.6396e-01, 3.1662e-01
58289, 6.7718e-02, 1.7037e-01, 3.2698e-01
64117, 7.0072e-02, 1.7299e-01, 3.3295e-01
70528, 1.2030e-01, 3.1318e-01, 6.1728e-01
77580, 1.2349e-01, 3.2193e-01, 6.2346e-01
85338, 1.2755e-01, 3.3021e-01, 6.3223e-01
93871, 1.3102e-01, 3.3113e-01, 6.4349e-01
