Size of Matrix (n), 10-precision-seconds, 20-precision-seconds, 30-precision-seconds
10, 9.1132e-06, 2.3023e-05, 4.0178e-05
11, 7.3931e-06, 1.9239e-05, 3.9988e-05
12, 6.8685e-06, 1.9670e-05, 3.4315e-05
13, 6.7313e-06, 2.0026e-05, 3.4798e-05
14, 7.2058e-06, 1.9783e-05, 3.4998e-05
15, 7.0426e-06, 2.0203e-05, 3.9453e-05
16, 1.8683e-05, 5.2831e-05, 1.0835e-04
17, 1.9154e-05, 5.4388e-05, 1.0731e-04
18, 1.7652e-05, 5.0073e-05, 9.7902e-05
19, 1.7000e-05, 4.7908e-05, 9.5814e-05
20, 1.6802e-05, 4.9018e-05, 9.4040e-05
22, 1.7863e-05, 4.6526e-05, 9.4558e-05
24, 2.0088e-05, 5.2695e-05, 1.1059e-04
26, 1.6384e-05, 5.0445e-05, 9.2875e-05
28, 1.6519e-05, 5.0531e-05, 9.5626e-05
30, 1.6693e-05, 4.8158e-05, 9.4228e-05
33, 3.7590e-05, 1.0943e-04, 2.1848e-04
36, 3.7733e-05, 1.0982e-04, 2.1506e-04
39, 3.7498e-05, 1.1479e-04, 2.1889e-04
42, 3.8002e-05, 1.1551e-04, 2.1848e-04
46, 4.3857e-05, 1.2542e-04, 2.4273e-04
50, 4.3624e-05, 1.2154e-04, 2.3924e-04
55, 4.1923e-05, 1.2950e-04, 2.3010e-04
60, 4.1001e-05, 1.1391e-04, 2.2200e-04
66, 7.6943e-05, 2.4289e-04, 4.7455e-04
72, 7.7750e-05, 2.4060e-04, 4.6954e-04
79, 8.2532e-05, 2.7915e-04, 4.9788e-04
86, 7.9563e-05, 2.4687e-04, 4.8652e-04
94, 8.0451e-05, 2.6446e-04, 4.8272e-04
103, 8.1972e-05, 2.4633e-04, 4.8163e-04
113, 8.8527e-05, 2.5025e-04, 5.0322e-04
124, 8.6455e-05, 2.5126e-04, 4.8908e-04
136, 1.5696e-04, 5.0384e-04, 1.0394e-03
149, 1.5981e-04, 5.0652e-04, 1.0252e-03
163, 1.6931e-04, 5.4092e-04, 1.0285e-03
179, 1.6942e-04, 5.1630e-04, 1.0055e-03
