Size of Matrix (n), 10-precision-flops, 20-precision-flops, 30-precision-flops
10, 3.1138e+04, 2.1753e+05, 7.0352e+05
11, 3.1253e+04, 2.1772e+05, 7.0379e+05
12, 3.1365e+04, 2.1792e+05, 7.0407e+05
13, 3.1493e+04, 2.1812e+05, 7.0435e+05
14, 3.1633e+04, 2.1834e+05, 7.0465e+05
15, 3.1743e+04, 2.1853e+05, 7.0492e+05
16, 8.5174e+04, 5.9808e+05, 1.9354e+06
17, 8.5326e+04, 5.9835e+05, 1.9358e+06
18, 8.5477e+04, 5.9861e+05, 1.9361e+06
19, 8.5627e+04, 5.9887e+05, 1.9365e+06
20, 8.5788e+04, 5.9914e+05, 1.9369e+06
22, 8.6117e+04, 5.9969e+05, 1.9377e+06
24, 8.6406e+04, 6.0020e+05, 1.9384e+06
26, 8.6714e+04, 6.0072e+05, 1.9391e+06
28, 8.7056e+04, 6.0129e+05, 1.9399e+06
30, 8.7392e+04, 6.0184e+05, 1.9407e+06
33, 2.0168e+05, 1.4142e+06, 4.5751e+06
36, 2.0222e+05, 1.4151e+06, 4.5764e+06
39, 2.0279e+05, 1.4161e+06, 4.5778e+06
42, 2.0333e+05, 1.4171e+06, 4.5792e+06
46, 2.0414e+05, 1.4184e+06, 4.5812e+06
50, 2.0488e+05, 1.4198e+06, 4.5830e+06
55, 2.0592e+05, 1.4215e+06, 4.5855e+06
60, 2.0698e+05, 1.4233e+06, 4.5879e+06
66, 4.4283e+05, 3.1010e+06, 1.0030e+07
72, 4.4415e+05, 3.1033e+06, 1.0033e+07
79, 4.4573e+05, 3.1061e+06, 1.0037e+07
86, 4.4733e+05, 3.1089e+06, 1.0041e+07
94, 4.4915e+05, 3.1120e+06, 1.0046e+07
103, 4.5134e+05, 3.1158e+06, 1.0051e+07
113, 4.5363e+05, 3.1198e+06, 1.0057e+07
124, 4.5626e+05, 3.1242e+06, 1.0063e+07
136, 9.3577e+05, 6.5336e+06, 2.1121e+07
149, 9.3911e+05, 6.5395e+06, 2.1130e+07
163, 9.4275e+05, 6.5459e+06, 2.1139e+07
179, 9.4697e+05, 6.5534e+06, 2.1150e+07
196, 9.5148e+05, 6.5613e+06, 2.1161e+07
215, 9.5657e+05, 6.5702e+06, 2.1174e+07
236, 9.6226e+05, 6.5800e+06, 2.1188e+07
259, 1.9288e+06, 1.3452e+07, 4.3478e+07
284, 1.9361e+06, 1.3465e+07, 4.3497e+07
