Size of Matrix (n), 10-precision-flops, 20-precision-flops, 30-precision-flops
312, 1.9444e+06, 1.3480e+07, 4.3518e+07
343, 1.9535e+06, 1.3496e+07, 4.3541e+07
377, 1.9638e+06, 1.3514e+07, 4.3567e+07
414, 1.9749e+06, 1.3534e+07, 4.3595e+07
455, 1.9876e+06, 1.3556e+07, 4.3627e+07
500, 2.0015e+06, 1.3580e+07, 4.3661e+07
550, 3.9452e+06, 2.7383e+07, 8.8424e+07
605, 3.9631e+06, 2.7415e+07, 8.8471e+07
665, 3.9829e+06, 2.7451e+07, 8.8522e+07
731, 4.0050e+06, 2.7490e+07, 8.8578e+07
804, 4.0295e+06, 2.7534e+07, 8.8641e+07
884, 4.0568e+06, 2.7582e+07, 8.8709e+07
972, 4.0871e+06, 2.7635e+07, 8.8786e+07
1069, 7.9833e+06, 5.5297e+07, 1.7849e+08
1175, 8.0218e+06, 5.5366e+07, 1.7859e+08
1292, 8.0644e+06, 5.5443e+07, 1.7870e+08
1421, 8.1120e+06, 5.5528e+07, 1.7882e+08
1563, 8.1647e+06, 5.5622e+07, 1.7896e+08
1719, 8.2230e+06, 5.5725e+07, 1.7910e+08
1890, 8.2877e+06, 5.5840e+07, 1.7927e+08
2079, 1.6092e+07, 1.1122e+08, 3.5886e+08
2286, 1.6174e+07, 1.1137e+08, 3.5907e+08
2514, 1.6265e+07, 1.1154e+08, 3.5931e+08
2765, 1.6366e+07, 1.1172e+08, 3.5957e+08
3041, 1.6477e+07, 1.1192e+08, 3.5986e+08
3345, 1.6602e+07, 1.1214e+08, 3.6018e+08
3679, 1.6739e+07, 1.1238e+08, 3.6053e+08
4046, 1.6892e+07, 1.1265e+08, 3.6091e+08
4450, 3.2535e+07, 2.2353e+08, 7.2035e+08
4895, 3.2728e+07, 2.2388e+08, 7.2085e+08
5384, 3.2942e+07, 2.2426e+08, 7.2141e+08
5922, 3.3177e+07, 2.2469e+08, 7.2202e+08
6514, 3.3439e+07, 2.2516e+08, 7.2270e+08
7165, 3.3729e+07, 2.2568e+08, 7.2344e+08
7881, 3.4052e+07, 2.2625e+08, 7.2427e+08
8669, 6.5361e+07, 4.4808e+08, 1.4433e+09
9535, 6.5766e+07, 4.4882e+08, 1.4444e+09
10488, 6.6215e+07, 4.4963e+08, 1.4456e+09
11536, 6.6710e+07, 4.5052e+08, 1.4469e+09
12689, 6.7260e+07, 4.5151e+08, 1.4483e+09
13957, 6.7869e+07, 4.5260e+08, 1.4499e+09
15352, 6.8543e+07, 4.5380e+08, 1.4516e+09
16887, 1.3120e+08, 8.9757e+08, 2.8900e+09
18575, 1.3205e+08, 8.9911e+08, 2.8922e+09
20432, 1.3298e+08, 9.0081e+08, 2.8947e+09
22475, 1.3402e+08, 9.0268e+08, 2.8974e+09
24722, 1.3517e+08, 9.0475e+08, 2.9004e+09
27194, 1.3644e+08, 9.0703e+08, 2.9037e+09
29913, 1.3784e+08, 9.0956e+08, 2.9073e+09
32904, 2.6321e+08, 1.7972e+09, 5.7844e+09
36194, 2.6498e+08, 1.8004e+09, 5.7890e+09
39813, 2.6693e+08, 1.8040e+09, 5.7942e+09
43794, 2.6909e+08, 1.8079e+09, 5.7998e+09
48173, 2.7147e+08, 1.8122e+09, 5.8061e+09
52990, 2.7411e+08, 1.8170e+09, 5.8129e+09
58289, 2.7703e+08, 1.8222e+09, 5.8205e+09
64117, 2.8027e+08, 1.8280e+09, 5.8289e+09
70528, 5.3154e+08, 3.6044e+09, 1.1585e+10
77580, 5.3558e+08, 3.6118e+09, 1.1595e+10
85338, 5.4004e+08, 3.6199e+09, 1.1607e+10
93871, 5.4498e+08, 3.6289e+09, 1.1620e+10
