Size of Matrix (n), 10-precision-flops, 20-precision-flops, 30-precision-flops
10, 8.0496e+03, 5.4160e+04, 1.7467e+05
11, 8.1448e+03, 5.4305e+04, 1.7486e+05
12, 8.2704e+03, 5.4480e+04, 1.7509e+05
13, 8.3984e+03, 5.4658e+04, 1.7532e+05
14, 8.5228e+03, 5.4833e+04, 1.7554e+05
15, 8.6508e+03, 5.5011e+04, 1.7577e+05
16, 8.7880e+03, 5.5198e+04, 1.7601e+05
17, 8.9076e+03, 5.5368e+04, 1.7623e+05
18, 9.0672e+03, 5.5577e+04, 1.7649e+05
19, 9.2068e+03, 5.5767e+04, 1.7673e+05
20, 9.3528e+03, 5.5963e+04, 1.7697e+05
22, 9.6780e+03, 5.6388e+04, 1.7750e+05
24, 1.0046e+04, 5.6856e+04, 1.7807e+05
26, 1.0399e+04, 5.7309e+04, 1.7862e+05
28, 1.0803e+04, 5.7813e+04, 1.7922e+05
30, 1.1164e+04, 5.8274e+04, 1.7978e+05
33, 1.1882e+04, 5.9142e+04, 1.8080e+05
36, 1.2405e+04, 5.9815e+04, 1.8163e+05
39, 1.3238e+04, 6.0798e+04, 1.8276e+05
42, 1.4106e+04, 6.1816e+04, 1.8393e+05
46, 1.5075e+04, 6.2985e+04, 1.8529e+05
50, 1.6226e+04, 6.4336e+04, 1.8685e+05
55, 1.7889e+04, 6.6249e+04, 1.8901e+05
60, 1.9692e+04, 6.8302e+04, 1.9131e+05
66, 2.1892e+04, 7.0802e+04, 1.9411e+05
72, 2.4146e+04, 7.3356e+04, 1.9697e+05
79, 2.7416e+04, 7.6976e+04, 2.0094e+05
86, 3.0541e+04, 8.0451e+04, 2.0476e+05
94, 3.4607e+04, 8.4917e+04, 2.0963e+05
103, 3.9388e+04, 9.0148e+04, 2.1531e+05
113, 4.5370e+04, 9.6630e+04, 2.2229e+05
124, 5.2013e+04, 1.0382e+05, 2.3003e+05
136, 6.0912e+04, 1.1332e+05, 2.4013e+05
149, 7.1017e+04, 1.2408e+05, 2.5154e+05
163, 8.2764e+04, 1.3652e+05, 2.6468e+05
179, 9.7021e+04, 1.5158e+05, 2.8054e+05
196, 1.1442e+05, 1.6983e+05, 2.9964e+05
215, 1.3520e+05, 1.9156e+05, 3.2232e+05
236, 1.6122e+05, 2.1863e+05, 3.5044e+05
259, 1.9051e+05, 2.4907e+05, 3.8203e+05
284, 2.2678e+05, 2.8659e+05, 4.2080e+05
312, 2.6862e+05, 3.2983e+05, 4.6544e+05
343, 3.2166e+05, 3.8442e+05, 5.2158e+05
377, 3.8204e+05, 4.4650e+05, 5.8536e+05
414, 4.5729e+05, 5.2360e+05, 6.6431e+05
455, 5.4717e+05, 6.1553e+05, 7.5829e+05
500, 6.6022e+05, 7.3083e+05, 8.7584e+05
550, 4.9399e+05, 7.2358e+05, 1.2528e+06
605, 5.9136e+05, 8.2535e+05, 1.3589e+06
665, 6.9488e+05, 9.3367e+05, 1.4721e+06
731, 8.2975e+05, 1.0738e+06, 1.6175e+06
804, 9.9379e+05, 1.2437e+06, 1.7932e+06
884, 1.1851e+06, 1.4414e+06, 1.9973e+06
972, 1.4167e+06, 1.6801e+06, 2.2430e+06
1069, 1.0390e+06, 1.6678e+06, 3.1209e+06
1175, 1.2241e+06, 1.8645e+06, 3.3293e+06
1292, 1.4457e+06, 2.0990e+06, 3.5767e+06
1421, 1.7148e+06, 2.3822e+06, 3.8741e+06
1563, 2.0394e+06, 2.7225e+06, 4.2300e+06
1719, 2.4222e+06, 3.1224e+06, 4.6471e+06
1890, 2.8831e+06, 3.6022e+06, 5.1456e+06
2079, 2.1190e+06, 3.6179e+06, 7.0653e+06
2286, 2.4806e+06, 4.0085e+06, 7.4849e+06
2514, 2.9180e+06, 4.4779e+06, 7.9861e+06
2765, 3.4484e+06, 5.0434e+06, 8.5867e+06
3041, 4.0803e+06, 5.7139e+06, 9.2959e+06
3345, 4.8392e+06, 6.5154e+06, 1.0140e+07
3679, 5.7549e+06, 7.4779e+06, 1.1149e+07
4046, 6.8586e+06, 8.6329e+06, 1.2356e+07
4450, 4.9742e+06, 8.3776e+06, 1.6052e+07
4895, 5.8328e+06, 9.3118e+06, 1.7062e+07
5384, 6.8647e+06, 1.0427e+07, 1.8260e+07
5922, 8.0957e+06, 1.1749e+07, 1.9674e+07
6514, 9.5819e+06, 1.3336e+07, 2.1361e+07
7165, 1.1353e+07, 1.5218e+07, 2.3354e+07
7881, 1.3502e+07, 1.7489e+07, 2.5747e+07
8669, 9.9165e+06, 1.7221e+07, 3.3515e+07
9535, 1.1580e+07, 1.9058e+07, 3.5525e+07
